62601.96171,34,-1.324962,-0.51545,-0.157137,4.220473,8.635243,6.715186,0,0,0,0,0
62601.97172,34,-1.06755,-0.082098,-0.078602,4.580924,8.548723,6.693181,0,0,0,0,0
62601.981699,34,-0.65472,0.379519,-0.022371,4.614604,8.544082,6.478079,0,0,0,0,0
62601.991709,34,-0.205516,0.587028,-0.034696,4.402794,8.551268,6.117778,0,0,0,0,0
62602.001718,34,0.171484,0.500745,-0.108345,4.153263,8.592731,5.386399,0,0,0,0,0
62602.011728,34,0.477329,0.183146,-0.220348,3.960314,8.469987,4.738995,0,0,0,0,0
62602.021738,34,0.71385,-0.181162,-0.3786,3.551964,8.594378,4.03456,0,0,0,0,0
62602.031717,34,0.815021,-0.480268,-0.525,3.200195,8.54528,3.679648,0,0,0,0,0
62602.041727,34,0.788459,-0.657223,-0.584277,3.05859,8.283774,3.397186,0,0,0,0,0
62602.051737,34,0.668203,-0.674782,-0.554756,2.979105,8.144863,2.991828,0,0,0,0,0
62602.061746,34,0.478693,-0.597328,-0.485123,3.100652,8.02571,2.552043,0,0,0,0,0
62602.071756,34,0.220965,-0.49996,-0.418529,3.214266,7.985145,2.314637,0,0,0,0,0
62602.081766,34,-0.079424,-0.403736,-0.367731,3.357668,7.964637,2.256258,0,0,0,0,0
62602.091745,34,-0.368118,-0.312727,-0.32655,3.470982,7.888147,2.359693,0,0,0,0,0
62602.101755,34,-0.574833,-0.255212,-0.315366,3.478616,7.825277,2.733316,0,0,0,0,0
62602.114755,34,-0.637918,-0.168316,-0.34778,3.234324,7.883356,3.529959,0,0,0,0,0
62602.124765,34,-0.507121,-0.125152,-0.399966,2.809508,7.888446,3.979624,0,0,0,0,0
62602.134775,34,-0.259063,-0.153638,-0.460665,2.323917,7.829469,4.252058,0,0,0,0,0
62602.144785,34,0.064813,-0.236091,-0.489275,1.85614,7.72798,4.179159,0,0,0,0,0
62602.154764,34,0.365416,-0.356969,-0.485454,1.480721,7.717801,3.805985,0,0,0,0,0
62602.164774,34,0.568035,-0.508941,-0.488389,1.212928,7.685767,3.244653,0,0,0,0,0
62602.174784,34,0.649177,-0.64967,-0.497245,1.060395,7.678882,2.688709,0,0,0,0,0
62602.184793,34,0.594016,-0.710547,-0.452744,1.00037,7.658674,2.192042,0,0,0,0,0
62602.194803,34,0.422681,-0.660639,-0.375505,0.967289,7.676636,1.890569,0,0,0,0,0
62602.204782,34,0.151142,-0.542209,-0.287673,0.96669,7.735165,1.747466,0,0,0,0,0
62602.214792,34,-0.150282,-0.397348,-0.205248,1.00007,7.730075,1.878743,0,0,0,0,0
62602.224802,34,-0.379394,-0.280607,-0.175226,0.884211,7.826175,2.131268,0,0,0,0,0
62602.232946,7,0,0,0,0,-0,0,0,1627.946167,1627.946167,959.5,539.5
62602.234812,34,-0.476516,-0.184387,-0.18728,0.809517,7.964637,2.569557,0,0,0,0,0
62602.244821,34,-0.443573,-0.131227,-0.187863,0.817899,7.99727,2.963687,0,0,0,0,0
62602.249612,7,1,0,0,0,-0,0,0,1627.946167,1627.946167,959.5,539.5
62602.253824,34,-0.345588,-0.13189,-0.194723,0.925376,8.123757,3.128644,0,0,0,0,0
62602.263834,34,-0.197424,-0.234135,-0.213808,0.980611,8.29979,3.302732,0,0,0,0,0
62602.266278,7,2,0,0,0,-0,0,0,1627.47937,1627.47937,959.5,539.5
62602.273813,34,-0.028951,-0.402024,-0.242065,0.948877,8.423583,3.35632,0,0,0,0,0
