18677.051969,34,-0.305184,-0.744944,-0.169709,-0.411644,8.450976,4.939578,0,0,0,0,0
18677.061979,34,-0.297775,-0.614663,-0.124906,-0.239203,8.350535,5.003645,0,0,0,0,0
18677.071958,34,-0.230994,-0.369437,-0.115455,-0.217947,8.386011,5.127138,0,0,0,0,0
18677.081968,34,-0.113132,-0.11971,-0.120153,-0.222288,8.504415,5.267396,0,0,0,0,0
18677.091978,34,0.044214,0.07291,-0.129915,-0.260608,8.503217,5.329667,0,0,0,0,0
18677.101987,34,0.185664,0.145749,-0.168517,-0.262853,8.504415,5.292843,0,0,0,0,0
18677.111967,34,0.25906,0.116546,-0.215581,-0.294438,8.49229,5.143754,0,0,0,0,0
18677.121976,34,0.280379,0.012881,-0.258599,-0.369581,8.474328,4.974306,0,0,0,0,0
18677.131986,34,0.267676,-0.097357,-0.28433,-0.497416,8.478669,4.834497,0,0,0,0,0
18677.141996,34,0.218785,-0.178141,-0.286651,-0.585582,8.453521,4.739444,0,0,0,0,0
18677.152006,34,0.147556,-0.214606,-0.258277,-0.681533,8.371042,4.741839,0,0,0,0,0
18677.161985,34,0.066727,-0.223567,-0.221542,-0.71641,8.342601,4.752916,0,0,0,0,0
18677.171995,34,0.01253,-0.184802,-0.162907,-0.829874,8.402178,4.827162,0,0,0,0,0
18677.182005,34,-0.021433,-0.121609,-0.09496,-0.904719,8.484656,4.903353,0,0,0,0,0
18677.192014,34,-0.028754,-0.056216,-0.022889,-0.828826,8.533305,4.921017,0,0,0,0,0
18677.201994,34,0.001194,-0.005477,0.037387,-0.741708,8.614436,4.904102,0,0,0,0,0
18677.212003,34,0.059852,0.009462,0.064735,-0.664618,8.702154,4.968318,0,0,0,0,0
18677.228025,34,0.186591,-0.050353,0.028336,-0.317041,8.721464,4.907694,0,0,0,0,0
18677.238004,34,0.253614,-0.084898,-0.015454,-0.290246,8.751701,4.840484,0,0,0,0,0
18677.248014,34,0.30152,-0.121718,-0.042061,-0.297581,8.779693,4.792284,0,0,0,0,0
18677.258024,34,0.335643,-0.153392,-0.046236,-0.284409,8.754096,4.782106,0,0,0,0,0
18677.268034,34,0.351697,-0.157676,-0.024935,-0.291294,8.730295,4.732858,0,0,0,0,0
18677.278013,34,0.354965,-0.138717,0.005843,-0.356409,8.766969,4.705166,0,0,0,0,0
18677.288023,34,0.322011,-0.111424,0.039926,-0.401315,8.868907,4.713997,0,0,0,0,0
18677.298032,34,0.268778,-0.076741,0.065509,-0.39907,8.88687,4.649032,0,0,0,0,0
18677.308042,34,0.218661,-0.032403,0.070725,-0.253423,8.874146,4.699328,0,0,0,0,0
18677.318021,34,0.187624,-0.017491,0.033402,-0.141156,8.673414,4.763694,0,0,0,0,0
18677.328031,34,0.172444,-0.019274,-0.049746,-0.033081,8.48271,4.675527,0,0,0,0,0
18677.338041,34,0.167917,-0.014668,-0.129794,-0.061372,8.408764,4.617897,0,0,0,0,0
18677.348051,34,0.173165,-0.033584,-0.162747,-0.230521,8.417596,4.635261,0,0,0,0,0
18677.355264,7,0,4.987707,-0.239875,3.537713,-0,3.135333,0,1091.211182,1091.211182,639.5,359.5
18677.35803,34,0.183889,-0.065402,-0.155072,-0.401315,8.427325,4.574637,0,0,0,0,0
18677.36804,34,0.195769,-0.113222,-0.126999,-0.62989,8.436606,4.472998,0,0,0,0,0
18677.371919,7,1,4.987707,-0.239875,3.537713,-0,3.135333,0,1091.211182,1091.211182,639.5,359.5
18677.380064,34,0.21086,-0.150469,-0.089422,-0.806972,8.496631,4.347709,0,0,0,0,0
18677.388575,7,2,4.987707,-0.239875,3.537713,-0,3.135333,0,1091.211182,1091.211182,639.5,359.5
18677.390043,34,0.205608,-0.151656,-0.066979,-0.891097,8.580756,4.282295,0,0,0,0,0
18677.400053,34,0.185423,-0.142287,-0.045616,-0.864153,8.695567,4.332141,0,0,0,0,0
18677.40523,7,3,4.987707,-0.239875,3.537713,-0,3.135333,0,1091.211182,1091.211182,639.5,359.5
18677.410062,34,0.168371,-0.105296,-0.030894,-0.792153,8.832084,4.294569,0,0,0,0,0
18677.420072,34,0.167216,-0.045899,-0.031366,-0.689167,8.93462,4.234993,0,0,0,0,0
18677.421885,7,4,4.987707,-0.239875,3.537713,-0,3.135333,0,1091.211182,1091.211182,639.5,359.5
18677.430051,34,0.180955,-0.011817,-0.049846,-0.631537,8.956774,4.170627,0,0,0,0,0
18677.43854,7,5,4.987707,-0.239875,3.537713,-0,3.135333,0,1091.211182,1091.211182,639.5,359.5
18677.440061,34,0.185116,-0.007421,-0.078713,-0.587079,8.958271,4.132906,0,0,0,0,0
18677.450071,34,0.177646,-0.044474,-0.099722,-0.529299,8.955427,4.085903,0,0,0,0,0
18677.455195,7,6,4.987707,-0.239875,3.537713,-0,3.135333,0,1091.211182,1091.211182,639.5,359.5
18677.460081,34,0.169185,-0.096457,-0.104599,-0.479303,8.933273,4.042194,0,0,0,0,0
18677.47006,34,0.157531,-0.13893,-0.104203,-0.405058,8.894204,4.040697,0,0,0,0,0
18677.471863,7,7,4.987707,-0.239875,3.537713,-0,3.135333,0,1091.211182,1091.211182,639.5,359.5
18677.48007,34,0.155413,-0.172826,-0.115658,-0.346679,8.863369,4.018094,0,0,0,0,0
18677.488531,7,8,4.987707,-0.239875,3.537713,-0,3.135333,0,1091.211182,1091.211182,639.5,359.5
18677.49008,34,0.157495,-0.174864,-0.131658,-0.333506,8.825797,4.02992,0,0,0,0,0
18677.500089,34,0.158465,-0.159903,-0.154192,-0.294438,8.804541,3.981271,0,0,0,0,0
